70049900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco Q ; Ministério da Defesa (Edifício Defensores da Pátria)
70049970;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes Anexo III ; AC Palácio do Planalto
70049971;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes Anexo II ; AC Senado
70050000;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios;
70050115;Brasília/DF;Zona Cívico-Administrativa;Setor SGMN Bloco C (Via N3);
70050150;Brasília/DF;Zona Cívico-Administrativa;Setor SGMN Projeção L (Via N3);
70050900;Brasília/DF;Zona Cívico-Administrativa;SAFS Quadra 4 Lote 03 ; Procuradoria Geral da República
70050901;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco A ; Ministério das Cidades
70050902;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco A 8º Andar ; Ministério do Desenvolvimento Agrário
70050903;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco A 6º Andar ; Secretaria de Comunicação Integrada (SECOM)
70050904;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco A 1º andar ; Corregedoria-Geral da União
70050907;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco A 5º Andar ; Secretaria Nacional de Políticas Sobre Drogas (SENAD)
70050970;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco R Sala 118 ; AC Ministério das Comunicações
70050973;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco H, Térreo ; AC Palácio do Itamaraty
70052900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco O ; Ministério da Defesa - Exército Brasileiro
70053900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco J ; Ministério do Desenvolvimento, Indústria e Comércio Exterior
70053901;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Lote Único ; Catedral Metropolitana de Brasília
70054906;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco A ; Ministério dos Esportes e Turismo
70055900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco N ; Ministério da Defesa - Marinha
70056900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco F ; Ministério do Trabalho e Emprego
70057900;Brasília/DF;Asa Norte;SBN Quadra 1 Bloco D ; Edifício Palácio do Desenvolvimento
70058900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco G ; Ministério da Saúde
70059900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco F ; Ministério da Previdência e Assistência Social
70062900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco E ; Secretaria Especial de Política Regional
70064900;Brasília/DF;Zona Cívico-Administrativa;Esplanada dos Ministérios Bloco T ; Ministério da Justiça
